Marginal $2020/ton C,Mtons C
1470.899133,3.577559213
1474.142571,3.577559213
1475.76429,3.577559213
1483.872885,3.577559213
1496.846637,3.577559213
1498.468356,3.577559213
1511.442108,3.577559213
1513.063827,3.577559213
1526.037579,3.577559213
1535.767893,3.577559213
1540.63305,3.577559213
1545.498207,7.155118425
1555.228521,3.577559213
1568.202273,3.577559213
1582.797744,3.577559213
1594.149777,3.577559213
1597.393215,3.577559213
1611.988686,3.577559213
1621.719,1295.076435
