"Plantable million hectares/year, bid qty per contract","$/hectare Loblolly Pine, 150 years","$/hectare ponderosa pine, 150 years","$/hectare black walnut, 150 years","$/hectare Loblolly Pine, 10 years","$/hectare ponderosa pine, 10 years","$/hectare black walnut, 10 years","$/hectare Loblolly Pine, 24 years","$/hectare ponderosa pine, 103 years","$/hectare black walnut, 55 years"
0.111111111,11547.8785,21213.4305,12319.8493,1281.9881,667.8351,808.6098,5126.4508,16395.1825,5965.0925
0.111111111,11625.8462,21356.657,12403.0291,1290.6437,672.3441,814.0693,5161.063,16505.8776,6005.3669
0.111111111,11703.8138,21499.8834,12486.2089,1299.2993,676.8531,819.5288,5195.6752,16616.5728,6045.6414
0.111111111,11781.7815,21643.1099,12569.3886,1307.9549,681.3621,824.9882,5230.2874,16727.2679,6085.9158
0.111111111,11859.7492,21786.3364,12652.5684,1316.6104,685.8711,830.4477,5264.8996,16837.9631,6126.1903
0.111111111,11937.7168,21929.5628,12735.7482,1325.266,690.3801,835.9072,5299.5118,16948.6582,6166.4647
0.111111111,12015.6845,22072.7893,12818.928,1333.9216,694.8892,841.3667,5334.124,17059.3534,6206.7391
0.111111111,12093.6522,22216.0158,12902.1078,1342.5772,699.3982,846.8262,5368.7362,17170.0486,6247.0136
0.111111111,12171.6199,22359.2422,12985.2875,1351.2328,703.9072,852.2856,5403.3484,17280.7437,6287.288
0.111111111,12249.5875,22502.4687,13068.4673,1359.8884,708.4162,857.7451,5437.9606,17391.4389,6327.5625
0.111111111,12327.5552,22645.6951,13151.6471,1368.5439,712.9252,863.2046,5472.5728,17502.134,6367.8369
0.111111111,12405.5229,22788.9216,13234.8269,1377.1995,717.4342,868.6641,5507.1849,17612.8292,6408.1114
0.111111111,12483.4905,22932.1481,13318.0066,1385.8551,721.9432,874.1236,5541.7971,17723.5243,6448.3858
0.111111111,12561.4582,23075.3745,13401.1864,1394.5107,726.4523,879.583,5576.4093,17834.2195,6488.6602
0.111111111,12639.4259,23218.601,13484.3662,1403.1663,730.9613,885.0425,5611.0215,17944.9146,6528.9347
0.111111111,12717.3936,23361.8275,13567.546,1411.8219,735.4703,890.502,5645.6337,18055.6098,6569.2091
0.111111111,12795.3612,23505.0539,13650.7258,1420.4774,739.9793,895.9615,5680.2459,18166.3049,6609.4836
0.111111111,12873.3289,23648.2804,13733.9055,1429.133,744.4883,901.421,5714.8581,18277.0001,6649.758
0.111111111,12951.2966,23791.5068,13817.0853,1437.7886,748.9973,906.8805,5749.4703,18387.6953,6690.0325
0.111111111,13029.2642,23934.7333,13900.2651,1446.4442,753.5063,912.3399,5784.0825,18498.3904,6730.3069
0.111111111,13107.2319,24077.9598,13983.4449,1455.0998,758.0154,917.7994,5818.6947,18609.0856,6770.5813
0.111111111,13185.1996,24221.1862,14066.6246,1463.7554,762.5244,923.2589,5853.3069,18719.7807,6810.8558
0.111111111,13263.1673,24364.4127,14149.8044,1472.4109,767.0334,928.7184,5887.9191,18830.4759,6851.1302
0.111111111,13341.1349,24507.6392,14232.9842,1481.0665,771.5424,934.1779,5922.5313,18941.171,6891.4047
0.111111111,13419.1026,24650.8656,14316.164,1489.7221,776.0514,939.6373,5957.1435,19051.8662,6931.6791
0.111111111,13497.0703,24794.0921,14399.3438,1498.3777,780.5604,945.0968,5991.7557,19162.5613,6971.9535
0.111111111,13575.0379,24937.3185,14482.5235,1507.0333,785.0694,950.5563,6026.3679,19273.2565,7012.228
0.111111111,13653.0056,25080.545,14565.7033,1515.6889,789.5785,956.0158,6060.9801,19383.9517,7052.5024
0.111111111,13730.9733,25223.7715,14648.8831,1524.3444,794.0875,961.4753,6095.5923,19494.6468,7092.7769
0.111111111,13808.941,25366.9979,14732.0629,1533,798.5965,966.9347,6130.2045,19605.342,7133.0513
0.111111111,13886.9086,25510.2244,14815.2427,1541.6556,803.1055,972.3942,6164.8167,19716.0371,7173.3258
0.111111111,13964.8763,25653.4509,14898.4224,1550.3112,807.6145,977.8537,6199.4289,19826.7323,7213.6002
0.111111111,14042.844,25796.6773,14981.6022,1558.9668,812.1235,983.3132,6234.0411,19937.4274,7253.8746
0.111111111,14120.8116,25939.9038,15064.782,1567.6224,816.6325,988.7727,6268.6533,20048.1226,7294.1491
0.111111111,14198.7793,26083.1303,15147.9618,1576.2779,821.1416,994.2321,6303.2655,20158.8177,7334.4235
0.111111111,14276.747,26226.3567,15231.1415,1584.9335,825.6506,999.6916,6337.8777,20269.5129,7374.698
0.111111111,14354.7147,26369.5832,15314.3213,1593.5891,830.1596,1005.1511,6372.4898,20380.2081,7414.9724
0.111111111,14432.6823,26512.8096,15397.5011,1602.2447,834.6686,1010.6106,6407.102,20490.9032,7455.2469
0.111111111,14510.65,26656.0361,15480.6809,1610.9003,839.1776,1016.0701,6441.7142,20601.5984,7495.5213
0.111111111,14588.6177,26799.2626,15563.8607,1619.5559,843.6866,1021.5295,6476.3264,20712.2935,7535.7957
0.111111111,14666.5853,26942.489,15647.0404,1628.2114,848.1956,1026.989,6510.9386,20822.9887,7576.0702
0.111111111,14744.553,27085.7155,15730.2202,1636.867,852.7046,1032.4485,6545.5508,20933.6838,7616.3446
0.111111111,14822.5207,27228.942,15813.4,1645.5226,857.2137,1037.908,6580.163,21044.379,7656.6191
0.111111111,14900.4884,27372.1684,15896.5798,1654.1782,861.7227,1043.3675,6614.7752,21155.0741,7696.8935
0.111111111,14978.456,27515.3949,15979.7595,1662.8338,866.2317,1048.827,6649.3874,21265.7693,7737.168
0.111111111,15056.4237,27658.6213,16062.9393,1671.4894,870.7407,1054.2864,6683.9996,21376.4645,7777.4424
0.111111111,15134.3914,27801.8478,16146.1191,1680.1449,875.2497,1059.7459,6718.6118,21487.1596,7817.7168
